keyword,asin,url,ad,title,price,real_price,rating,rating_count,thumbnail_url
ipad,B09G91TLNJ,https://www.amazon.com/2021-Apple-10-2-inch-Wi-Fi-256GB/dp/B09G91TLNJ/ref=sr_1_1,False,"Apple iPad (9th Generation): with A13 Bionic chip, 10.2-inch Retina Display, 256GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver",,,4.8,"117,967",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B0BJMCHC91,https://www.amazon.com/Apple-2022-10-9-inch-Wi-Fi-Cellular/dp/B0BJMCHC91/ref=sr_1_2,False,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 64GB, Wi-Fi 6 + 5G Cellular, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Blue",$594.00,,4.8,"3,833",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B0BJLBB4MV,https://www.amazon.com/Apple-2022-12-9-inch-iPad-Pro-Wi-Fi/dp/B0BJLBB4MV/ref=sr_1_3,False,"Apple iPad Pro 12.9-inch (6th Generation): with M2 chip, Liquid Retina XDR Display, 2TB, Wi-Fi 6E, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Space Gray","$2,189.00",,4.7,978,https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B09G91LXFP,https://www.amazon.com/2021-Apple-iPad-Mini-Wi-Fi/dp/B09G91LXFP/ref=sr_1_4,False,"Apple iPad Mini (6th Generation): with A15 Bionic chip, 8.3-inch Liquid Retina Display, 64GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Space Gray",,,4.8,"7,310",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B0BJLC171F,https://www.amazon.com/Apple-11-inch-iPad-Pro-Wi-Fi-256GB/dp/B0BJLC171F/ref=sr_1_5,False,"Apple iPad Pro 11-inch (4th Generation): with M2 chip, Liquid Retina Display, 256GB, Wi-Fi 6E, 12MP front/12MP and 10MP Back Cameras, Face ID, All-Day Battery Life – Silver",$893.99,,4.8,"1,011",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B09V3H386P,https://www.amazon.com/Apple-iPad-Air-5th-Generation/dp/B09V3H386P/ref=sr_1_6,False,"Apple iPad Air (5th Generation): with M1 chip, 10.9-inch Liquid Retina Display, 256GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Space Gray",,,4.8,"9,500",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B09QHXJ3YP,https://www.amazon.com/2021-Apple-10-2-inch-iPad-Wi-Fi/dp/B09QHXJ3YP/ref=sr_1_7,False,"Apple 2021 10.2-inch iPad (Wi-Fi, 64GB) - Space Gray with AppleCare+ (2 Years)",$338.99,$398.00,4.9,546,https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B094PXZMP6,https://www.amazon.com/SAMSUNG-Android-Compact-Lasting-Battery/dp/B094PXZMP6/ref=sr_1_8,False,"SAMSUNG Galaxy Tab A7 Lite 8.7"" 32GB WiFi Android Tablet, Compact, Slim Design, Kid Friendly, Sturdy Metal Frame, Long Lasting Battery, US Version, 2021, Silver",$159.00,,4.5,"15,102",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B09971JCM3,https://www.amazon.com/SAMSUNG-Android-Included-Connectivity-SM-T733NLGFXAR/dp/B09971JCM3/ref=sr_1_9,False,"SAMSUNG Galaxy Tab S7 FE 12.4” 256GB WiFi Android Tablet, Large Screen, S Pen Included, Multi Device Connectivity, Long Lasting Battery, US Version, 2021, Mystic Green",$526.99,$679.99,4.7,"5,303",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B09NQLMS93,https://www.amazon.com/Samsung-Qualcomm-Snapdragon-Included-Productivity/dp/B09NQLMS93/ref=sr_1_10,False,"SAMSUNG Galaxy Tab S8 11” 256GB WiFi 6E Android Tablet, Large LCD Screen, S Pen Included, Ultra Wide Camera, Long Lasting Battery, US Version, 2022, Pink Gold",$679.99,$779.99,4.7,"2,868",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B0971G7344,https://www.amazon.com/Samsung-Cellular-Unlocked-International-Charging/dp/B0971G7344/ref=sr_1_11,False,"Samsung Galaxy Tab A7 Lite 8.7"" (2021, WiFi + Cellular) 32GB 4G LTE Tablet & Phone (Makes Calls) GSM Unlocked, International Model w/US Charging Cube - SM-T225 (Silver, LTE+WiFi)",,,4.3,895,https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B09B17DVYR,https://www.amazon.com/Lenovo-Tab-P11-Plus-1st/dp/B09B17DVYR/ref=sr_1_12,False,"Lenovo Tab P11 Plus (1st Gen) - 2021 - Tablet - Long Battery Life - 11"" LCD - MediaTek Octa-Core Processor - 4GB Memory - 128GB Storage - Android 11 - Bluetooth & Wi-Fi",$249.99,,4.5,788,https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B09N3YBXCN,https://www.amazon.com/Samsung-Android-Long-Lasting-Expandable-Exclusive/dp/B09N3YBXCN/ref=sr_1_13,False,"SAMSUNG Galaxy Tab A8 10.5” 32GB Android Tablet, LCD Screen, Kids Content, Smart Switch, Long Lasting Battery, US Version, 2022, Silver, Amazon Exclusive",$195.00,$229.99,4.5,"16,155",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B09WYXXP5K,https://www.amazon.com/SAMSUNG-Android-Lasting-Included-Speakers/dp/B09WYXXP5K/ref=sr_1_14,False,"SAMSUNG Galaxy Tab S6 Lite 10.4"" 128GB Android Tablet, S Pen Included, Slim Metal Design, AKG Dual Speakers, Long Lasting Battery, US Version, 2020, Chiffon Rose",$329.00,$429.99,4.7,"2,657",https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
ipad,B0B8G7SM4Z,https://www.amazon.com/Apple-2021-11-inch-iPad-Pro-Wi-Fi/dp/B0B8G7SM4Z/ref=sr_1_15,False,"Apple 2021 11-inch iPad Pro (Wi-Fi, 1TB) - Silver with AppleCare+ (2 Years)","$1,628.99",,5.0,6,https://m.media-amazon.com/images/I/61PnHlc0HCL._AC_UY218_.jpg
